# Spectral unit: Wavelength [um]
# Wave/freq Total
1.000000000000000000e+00 9.805599999999999872e-01
1.002000000000000002e+00 9.736799999999999899e-01
1.004003999999999897e+00 9.680199999999999916e-01
1.006012007999999902e+00 9.673000000000000487e-01
1.008024032000000014e+00 9.768200000000000216e-01
1.010040080000000007e+00 9.655599999999999739e-01
1.012060160000000097e+00 9.635700000000000376e-01
1.014084280999999921e+00 9.795300000000000118e-01
1.016112448999999973e+00 9.804000000000000492e-01
1.018144673999999972e+00 9.825700000000000545e-01
1.020180963000000052e+00 9.821800000000000530e-01
1.022221325000000069e+00 9.813399999999999901e-01
1.024265768000000021e+00 9.760799999999999477e-01
1.026314299000000041e+00 9.808599999999999541e-01
1.028366928000000069e+00 9.880900000000000238e-01
1.030423662000000018e+00 9.872800000000000464e-01
1.032484509000000106e+00 9.916199999999999459e-01
1.034549477999999967e+00 9.951100000000000501e-01
1.036618577000000041e+00 9.967700000000000449e-01
1.038691814000000102e+00 9.969299999999999828e-01
1.040769198000000006e+00 9.957200000000000495e-01
1.042850735999999889e+00 9.939200000000000257e-01
1.044936437999999912e+00 9.935199999999999587e-01
1.047026310999999987e+00 9.933499999999999552e-01
1.049120362999999889e+00 9.925399999999999778e-01
1.051218604000000001e+00 9.913199999999999790e-01
1.053321041000000013e+00 9.897099999999999786e-01
1.055427683000000005e+00 9.881900000000000128e-01
1.057538539000000055e+00 9.865300000000000180e-01
1.059653616000000076e+00 9.841400000000000148e-01
1.061772922999999924e+00 9.822499999999999565e-01
1.063896468999999900e+00 9.797700000000000298e-01
1.066024262000000000e+00 9.777299999999999880e-01
1.068156309999999998e+00 9.778200000000000225e-01
1.070292623000000054e+00 9.750199999999999978e-01
1.072433208000000082e+00 9.735599999999999810e-01
1.074578075000000021e+00 9.759499999999999842e-01
1.076727231000000007e+00 9.685200000000000475e-01
1.078880684999999895e+00 9.536700000000000177e-01
1.081038447000000069e+00 9.473500000000000254e-01
1.083200523999999998e+00 9.522100000000000009e-01
1.085366924999999982e+00 9.358199999999999852e-01
1.087537658000000018e+00 8.996399999999999952e-01
1.089712733999999905e+00 9.018399999999999750e-01
1.091892158999999918e+00 9.173900000000000388e-01
1.094075944000000078e+00 8.887300000000000200e-01
1.096264094999999994e+00 8.389299999999999535e-01
1.098456623999999993e+00 8.247999999999999776e-01
1.100653536999999904e+00 7.717100000000000071e-01
1.102854843999999890e+00 7.037999999999999812e-01
1.105060554000000028e+00 6.846200000000000063e-01
1.107270675000000093e+00 6.593900000000000317e-01
1.109485215999999941e+00 6.137599999999999723e-01
1.111704186999999955e+00 5.782300000000000217e-01
1.113927595000000048e+00 5.094800000000000439e-01
1.116155449999999938e+00 4.037600000000000078e-01
1.118387760999999925e+00 2.630399999999999960e-01
1.120624537000000087e+00 1.371799999999999964e-01
1.122865785999999977e+00 1.059299999999999964e-01
1.125111516999999894e+00 1.380699999999999983e-01
1.127361740000000001e+00 1.243400000000000061e-01
1.129616463999999931e+00 7.190000000000000557e-02
1.131875696999999903e+00 1.560600000000000043e-01
1.134139447999999994e+00 1.990899999999999892e-01
1.136407726999999923e+00 9.174999999999999822e-02
1.138680541999999907e+00 1.614099999999999979e-01
1.140957903000000107e+00 3.355500000000000149e-01
1.143239818999999935e+00 3.247900000000000231e-01
1.145526298999999915e+00 2.177499999999999991e-01
1.147817351000000041e+00 1.159799999999999998e-01
1.150112985999999893e+00 1.794800000000000006e-01
1.152413211999999909e+00 2.733999999999999764e-01
1.154718039000000029e+00 2.423599999999999921e-01
1.157027475000000027e+00 3.098099999999999743e-01
1.159341530000000065e+00 4.255900000000000238e-01
1.161660212999999997e+00 4.745300000000000074e-01
1.163983532999999904e+00 5.688499999999999668e-01
1.166311499999999945e+00 6.306699999999999529e-01
1.168644122999999979e+00 6.415699999999999736e-01
1.170981411000000083e+00 7.050899999999999945e-01
1.173323373999999975e+00 7.502100000000000435e-01
1.175670020999999954e+00 6.936799999999999633e-01
1.178021361000000100e+00 7.038900000000000157e-01
1.180377403999999908e+00 7.804400000000000226e-01
1.182738158999999900e+00 7.210299999999999487e-01
1.185103634999999933e+00 6.850800000000000223e-01
1.187473841999999946e+00 7.672999999999999821e-01
1.189848790000000101e+00 7.335899999999999643e-01
1.192228486999999948e+00 7.178600000000000536e-01
1.194612943999999954e+00 8.057499999999999662e-01
1.197002169999999976e+00 8.111899999999999666e-01
1.199396174999999953e+00 7.557899999999999618e-01
1.201794967000000103e+00 7.681599999999999540e-01
1.204198557000000003e+00 7.539200000000000346e-01
1.206606953999999954e+00 7.873599999999999488e-01
1.209020167999999895e+00 8.484699999999999465e-01
1.211438207999999905e+00 8.322500000000000453e-01
1.213861085000000006e+00 8.218100000000000405e-01
1.216288806999999972e+00 8.128499999999999615e-01
1.218721383999999963e+00 8.473000000000000531e-01
1.221158827000000002e+00 8.871700000000000141e-01
1.223601144999999946e+00 8.895300000000000429e-01
1.226048347000000094e+00 8.922499999999999876e-01
1.228500444000000025e+00 8.998599999999999932e-01
1.230957445000000039e+00 9.237900000000000000e-01
1.233419360000000076e+00 9.481199999999999628e-01
1.235886197999999991e+00 9.613899999999999668e-01
1.238357970999999891e+00 9.725599999999999801e-01
1.240834686999999992e+00 9.786500000000000199e-01
1.243316356000000011e+00 9.818599999999999550e-01
1.245802988999999972e+00 9.821699999999999875e-01
1.248294594999999951e+00 9.822999999999999510e-01
1.250791183999999889e+00 9.809200000000000141e-01
1.253292765999999947e+00 9.771999999999999575e-01
1.255799351999999924e+00 9.731600000000000250e-01
1.258310950999999900e+00 9.672199999999999687e-01
1.260827571999999952e+00 9.589600000000000346e-01
1.263349228000000046e+00 9.331899999999999640e-01
1.265875926000000096e+00 9.059300000000000130e-01
1.268407677999999983e+00 9.072299999999999809e-01
1.270944493000000008e+00 8.592699999999999783e-01
1.273486381999999972e+00 8.761200000000000099e-01
1.276033355000000036e+00 9.441399999999999793e-01
1.278585421999999916e+00 9.512000000000000455e-01
1.281142592999999996e+00 9.513300000000000090e-01
1.283704877999999994e+00 9.650699999999999834e-01
1.286272287000000070e+00 9.747299999999999853e-01
1.288844832000000107e+00 9.598100000000000520e-01
1.291422521999999962e+00 9.462500000000000355e-01
1.294005367000000017e+00 9.294700000000000184e-01
1.296593376999999991e+00 9.055600000000000316e-01
1.299186563999999988e+00 8.857899999999999663e-01
1.301784937000000086e+00 8.522800000000000376e-01
1.304388507000000086e+00 8.130600000000000049e-01
1.306997283999999926e+00 7.873200000000000198e-01
